Customer ID,Subscription Status,Shipping Type,Discount Applied,Promo Code Used
1,Yes,Express,Yes,Yes
2,Yes,Express,Yes,Yes
3,Yes,Free Shipping,Yes,Yes
4,Yes,Next Day Air,Yes,Yes
5,Yes,Free Shipping,Yes,Yes
6,Yes,Standard,Yes,Yes
7,Yes,Free Shipping,Yes,Yes
8,Yes,Free Shipping,Yes,Yes
9,Yes,Express,Yes,Yes
10,Yes,2-Day Shipping,Yes,Yes
11,Yes,Store Pickup,Yes,Yes
12,Yes,Store Pickup,Yes,Yes
13,Yes,Express,Yes,Yes
14,Yes,Express,Yes,Yes
15,Yes,Free Shipping,Yes,Yes
16,Yes,Store Pickup,Yes,Yes
17,Yes,Next Day Air,Yes,Yes
18,Yes,2-Day Shipping,Yes,Yes
19,Yes,Free Shipping,Yes,Yes
20,Yes,Standard,Yes,Yes
21,Yes,Express,Yes,Yes
22,Yes,Store Pickup,Yes,Yes
23,Yes,Store Pickup,Yes,Yes
24,Yes,Express,Yes,Yes
25,Yes,Store Pickup,Yes,Yes
26,Yes,Express,Yes,Yes
27,Yes,Next Day Air,Yes,Yes
28,Yes,Next Day Air,Yes,Yes
29,Yes,Free Shipping,Yes,Yes
30,Yes,Store Pickup,Yes,Yes
31,Yes,Standard,Yes,Yes
32,Yes,Store Pickup,Yes,Yes
33,Yes,Free Shipping,Yes,Yes
34,Yes,Store Pickup,Yes,Yes
35,Yes,2-Day Shipping,Yes,Yes
36,Yes,2-Day Shipping,Yes,Yes
37,Yes,Free Shipping,Yes,Yes
38,Yes,Store Pickup,Yes,Yes
39,Yes,2-Day Shipping,Yes,Yes
40,Yes,Express,Yes,Yes
41,Yes,Next Day Air,Yes,Yes
42,Yes,Standard,Yes,Yes
43,Yes,Free Shipping,Yes,Yes
44,Yes,Store Pickup,Yes,Yes
45,Yes,Free Shipping,Yes,Yes
46,Yes,2-Day Shipping,Yes,Yes
47,Yes,Store Pickup,Yes,Yes
48,Yes,Free Shipping,Yes,Yes
49,Yes,Store Pickup,Yes,Yes
50,Yes,Next Day Air,Yes,Yes
51,Yes,Store Pickup,Yes,Yes
52,Yes,2-Day Shipping,Yes,Yes
53,Yes,Free Shipping,Yes,Yes
54,Yes,Next Day Air,Yes,Yes
55,Yes,Next Day Air,Yes,Yes
56,Yes,2-Day Shipping,Yes,Yes
57,Yes,Store Pickup,Yes,Yes
58,Yes,Store Pickup,Yes,Yes
59,Yes,Free Shipping,Yes,Yes
60,Yes,Standard,Yes,Yes
61,Yes,Express,Yes,Yes
62,Yes,Store Pickup,Yes,Yes
63,Yes,Free Shipping,Yes,Yes
64,Yes,2-Day Shipping,Yes,Yes
65,Yes,Standard,Yes,Yes
66,Yes,2-Day Shipping,Yes,Yes
67,Yes,2-Day Shipping,Yes,Yes
68,Yes,Store Pickup,Yes,Yes
69,Yes,Next Day Air,Yes,Yes
70,Yes,Express,Yes,Yes
71,Yes,Express,Yes,Yes
72,Yes,Express,Yes,Yes
73,Yes,Store Pickup,Yes,Yes
74,Yes,Free Shipping,Yes,Yes
75,Yes,Express,Yes,Yes
76,Yes,Free Shipping,Yes,Yes
77,Yes,Free Shipping,Yes,Yes
78,Yes,Next Day Air,Yes,Yes
79,Yes,Free Shipping,Yes,Yes
80,Yes,2-Day Shipping,Yes,Yes
81,Yes,Store Pickup,Yes,Yes
82,Yes,Express,Yes,Yes
83,Yes,2-Day Shipping,Yes,Yes
84,Yes,Standard,Yes,Yes
85,Yes,Standard,Yes,Yes
86,Yes,Next Day Air,Yes,Yes
87,Yes,2-Day Shipping,Yes,Yes
88,Yes,2-Day Shipping,Yes,Yes
89,Yes,Free Shipping,Yes,Yes
90,Yes,Next Day Air,Yes,Yes
91,Yes,Express,Yes,Yes
92,Yes,Standard,Yes,Yes
93,Yes,2-Day Shipping,Yes,Yes
94,Yes,Standard,Yes,Yes
95,Yes,Free Shipping,Yes,Yes
96,Yes,Free Shipping,Yes,Yes
97,Yes,Express,Yes,Yes
98,Yes,Store Pickup,Yes,Yes
99,Yes,Next Day Air,Yes,Yes
100,Yes,Express,Yes,Yes
101,Yes,Express,Yes,Yes
102,Yes,Express,Yes,Yes
103,Yes,Next Day Air,Yes,Yes
104,Yes,Next Day Air,Yes,Yes
105,Yes,2-Day Shipping,Yes,Yes
106,Yes,Next Day Air,Yes,Yes
107,Yes,Standard,Yes,Yes
108,Yes,Next Day Air,Yes,Yes
109,Yes,Next Day Air,Yes,Yes
110,Yes,Next Day Air,Yes,Yes
111,Yes,Standard,Yes,Yes
112,Yes,Free Shipping,Yes,Yes
113,Yes,Free Shipping,Yes,Yes
114,Yes,Next Day Air,Yes,Yes
115,Yes,Store Pickup,Yes,Yes
116,Yes,Standard,Yes,Yes
117,Yes,Free Shipping,Yes,Yes
118,Yes,Express,Yes,Yes
119,Yes,2-Day Shipping,Yes,Yes
120,Yes,Express,Yes,Yes
121,Yes,Express,Yes,Yes
122,Yes,Standard,Yes,Yes
123,Yes,2-Day Shipping,Yes,Yes
124,Yes,Free Shipping,Yes,Yes
125,Yes,Next Day Air,Yes,Yes
126,Yes,Next Day Air,Yes,Yes
127,Yes,Store Pickup,Yes,Yes
128,Yes,Next Day Air,Yes,Yes
129,Yes,Standard,Yes,Yes
130,Yes,2-Day Shipping,Yes,Yes
131,Yes,Next Day Air,Yes,Yes
132,Yes,Standard,Yes,Yes
133,Yes,2-Day Shipping,Yes,Yes
134,Yes,Next Day Air,Yes,Yes
135,Yes,Store Pickup,Yes,Yes
136,Yes,Express,Yes,Yes
137,Yes,Free Shipping,Yes,Yes
138,Yes,Free Shipping,Yes,Yes
139,Yes,Store Pickup,Yes,Yes
140,Yes,Store Pickup,Yes,Yes
141,Yes,2-Day Shipping,Yes,Yes
142,Yes,Free Shipping,Yes,Yes
143,Yes,Free Shipping,Yes,Yes
144,Yes,Store Pickup,Yes,Yes
145,Yes,Express,Yes,Yes
146,Yes,Standard,Yes,Yes
147,Yes,Standard,Yes,Yes
148,Yes,2-Day Shipping,Yes,Yes
149,Yes,Store Pickup,Yes,Yes
150,Yes,Free Shipping,Yes,Yes
151,Yes,Standard,Yes,Yes
152,Yes,Next Day Air,Yes,Yes
153,Yes,Express,Yes,Yes
154,Yes,Standard,Yes,Yes
155,Yes,Next Day Air,Yes,Yes
156,Yes,Free Shipping,Yes,Yes
157,Yes,Standard,Yes,Yes
158,Yes,Next Day Air,Yes,Yes
159,Yes,Standard,Yes,Yes
160,Yes,Store Pickup,Yes,Yes
161,Yes,Free Shipping,Yes,Yes
162,Yes,Express,Yes,Yes
163,Yes,Store Pickup,Yes,Yes
164,Yes,Standard,Yes,Yes
165,Yes,Free Shipping,Yes,Yes
166,Yes,Store Pickup,Yes,Yes
167,Yes,Store Pickup,Yes,Yes
168,Yes,Express,Yes,Yes
169,Yes,Express,Yes,Yes
170,Yes,Standard,Yes,Yes
171,Yes,Store Pickup,Yes,Yes
172,Yes,Store Pickup,Yes,Yes
173,Yes,Next Day Air,Yes,Yes
174,Yes,Standard,Yes,Yes
175,Yes,Express,Yes,Yes
176,Yes,Next Day Air,Yes,Yes
177,Yes,Next Day Air,Yes,Yes
178,Yes,Next Day Air,Yes,Yes
179,Yes,2-Day Shipping,Yes,Yes
180,Yes,Store Pickup,Yes,Yes
181,Yes,Store Pickup,Yes,Yes
182,Yes,Next Day Air,Yes,Yes
183,Yes,Store Pickup,Yes,Yes
184,Yes,2-Day Shipping,Yes,Yes
185,Yes,Express,Yes,Yes
186,Yes,Store Pickup,Yes,Yes
187,Yes,Standard,Yes,Yes
188,Yes,Store Pickup,Yes,Yes
189,Yes,Express,Yes,Yes
190,Yes,Next Day Air,Yes,Yes
191,Yes,Free Shipping,Yes,Yes
192,Yes,Free Shipping,Yes,Yes
193,Yes,Express,Yes,Yes
194,Yes,Standard,Yes,Yes
195,Yes,Express,Yes,Yes
196,Yes,Free Shipping,Yes,Yes
197,Yes,Next Day Air,Yes,Yes
198,Yes,2-Day Shipping,Yes,Yes
199,Yes,Standard,Yes,Yes
200,Yes,Express,Yes,Yes
201,Yes,Next Day Air,Yes,Yes
202,Yes,Free Shipping,Yes,Yes
203,Yes,Express,Yes,Yes
204,Yes,Next Day Air,Yes,Yes
205,Yes,Store Pickup,Yes,Yes
206,Yes,Standard,Yes,Yes
207,Yes,Free Shipping,Yes,Yes
208,Yes,Express,Yes,Yes
209,Yes,Store Pickup,Yes,Yes
210,Yes,Store Pickup,Yes,Yes
211,Yes,2-Day Shipping,Yes,Yes
212,Yes,2-Day Shipping,Yes,Yes
213,Yes,Express,Yes,Yes
214,Yes,Store Pickup,Yes,Yes
215,Yes,Next Day Air,Yes,Yes
216,Yes,2-Day Shipping,Yes,Yes
217,Yes,Free Shipping,Yes,Yes
218,Yes,Next Day Air,Yes,Yes
219,Yes,Store Pickup,Yes,Yes
220,Yes,Free Shipping,Yes,Yes
221,Yes,Express,Yes,Yes
222,Yes,Store Pickup,Yes,Yes
223,Yes,2-Day Shipping,Yes,Yes
224,Yes,Free Shipping,Yes,Yes
225,Yes,Free Shipping,Yes,Yes
226,Yes,Next Day Air,Yes,Yes
227,Yes,Free Shipping,Yes,Yes
228,Yes,Standard,Yes,Yes
229,Yes,Store Pickup,Yes,Yes
230,Yes,Next Day Air,Yes,Yes
231,Yes,Standard,Yes,Yes
232,Yes,2-Day Shipping,Yes,Yes
233,Yes,Express,Yes,Yes
234,Yes,Next Day Air,Yes,Yes
235,Yes,Next Day Air,Yes,Yes
236,Yes,Free Shipping,Yes,Yes
237,Yes,Next Day Air,Yes,Yes
238,Yes,Store Pickup,Yes,Yes
239,Yes,Free Shipping,Yes,Yes
240,Yes,Express,Yes,Yes
241,Yes,Free Shipping,Yes,Yes
242,Yes,Free Shipping,Yes,Yes
243,Yes,Store Pickup,Yes,Yes
244,Yes,2-Day Shipping,Yes,Yes
245,Yes,2-Day Shipping,Yes,Yes
246,Yes,Next Day Air,Yes,Yes
247,Yes,Express,Yes,Yes
248,Yes,Standard,Yes,Yes
249,Yes,Express,Yes,Yes
250,Yes,Standard,Yes,Yes
251,Yes,Express,Yes,Yes
252,Yes,Standard,Yes,Yes
