Customer ID,Previous Purchases,Payment Method,Frequency of Purchases
1,14,Venmo,Fortnightly
2,2,Cash,Fortnightly
3,23,Credit Card,Weekly
4,49,PayPal,Weekly
5,31,PayPal,Annually
6,14,Venmo,Weekly
7,49,Cash,Quarterly
8,19,Credit Card,Weekly
9,8,Venmo,Annually
10,4,Cash,Quarterly
11,26,Bank Transfer,Bi-Weekly
12,10,Bank Transfer,Fortnightly
13,37,Venmo,Fortnightly
14,31,PayPal,Weekly
15,34,Debit Card,Weekly
16,8,PayPal,Monthly
17,44,Debit Card,Bi-Weekly
18,36,Venmo,Quarterly
19,17,Cash,Weekly
20,46,Debit Card,Bi-Weekly
21,50,Cash,Every 3 Months
22,22,Debit Card,Quarterly
23,32,Debit Card,Annually
24,40,Credit Card,Weekly
25,16,Debit Card,Weekly
26,14,PayPal,Annually
27,13,Credit Card,Annually
28,7,Bank Transfer,Every 3 Months
29,41,PayPal,Every 3 Months
30,14,Credit Card,Weekly
31,16,Credit Card,Monthly
32,45,Venmo,Monthly
33,37,Venmo,Annually
34,45,Cash,Quarterly
35,38,PayPal,Quarterly
36,48,Credit Card,Bi-Weekly
37,44,PayPal,Fortnightly
38,10,PayPal,Weekly
39,44,Venmo,Every 3 Months
40,18,Credit Card,Monthly
41,31,Debit Card,Quarterly
42,40,Venmo,Annually
43,15,PayPal,Annually
44,19,PayPal,Fortnightly
45,45,PayPal,Weekly
46,25,PayPal,Annually
47,45,Cash,Quarterly
48,36,Cash,Weekly
49,38,Cash,Monthly
50,34,Debit Card,Bi-Weekly
51,39,Debit Card,Bi-Weekly
52,7,Credit Card,Quarterly
53,26,Credit Card,Weekly
54,35,Credit Card,Weekly
55,35,Debit Card,Bi-Weekly
56,49,Credit Card,Annually
57,46,Credit Card,Weekly
58,17,Debit Card,Fortnightly
59,29,Venmo,Monthly
60,4,Debit Card,Weekly
61,17,Cash,Weekly
62,21,Credit Card,Every 3 Months
63,31,Credit Card,Fortnightly
64,43,Credit Card,Weekly
65,18,Debit Card,Fortnightly
66,44,Venmo,Every 3 Months
67,3,Venmo,Every 3 Months
68,49,Debit Card,Monthly
69,21,Cash,Every 3 Months
70,5,Cash,Weekly
71,32,Debit Card,Every 3 Months
72,34,Bank Transfer,Annually
73,21,Bank Transfer,Every 3 Months
74,43,Bank Transfer,Bi-Weekly
75,3,Cash,Monthly
76,21,Credit Card,Annually
77,32,Venmo,Monthly
78,36,Debit Card,Fortnightly
79,50,Venmo,Fortnightly
80,43,Bank Transfer,Every 3 Months
81,24,Credit Card,Every 3 Months
82,36,Credit Card,Every 3 Months
83,21,Credit Card,Every 3 Months
84,34,Bank Transfer,Weekly
85,42,Bank Transfer,Every 3 Months
86,2,Debit Card,Bi-Weekly
87,47,Cash,Bi-Weekly
88,44,Debit Card,Fortnightly
89,35,Credit Card,Monthly
90,15,Cash,Quarterly
91,29,Credit Card,Monthly
92,18,Credit Card,Every 3 Months
93,13,Venmo,Every 3 Months
94,46,Credit Card,Weekly
95,28,Credit Card,Weekly
96,48,PayPal,Monthly
97,43,Venmo,Every 3 Months
98,37,Cash,Annually
99,20,Bank Transfer,Annually
100,33,Debit Card,Quarterly
101,31,Cash,Fortnightly
102,50,Credit Card,Bi-Weekly
103,35,Credit Card,Quarterly
104,22,Venmo,Bi-Weekly
105,1,PayPal,Monthly
106,4,Bank Transfer,Annually
107,31,Credit Card,Monthly
108,46,PayPal,Fortnightly
109,32,Bank Transfer,Bi-Weekly
110,43,Bank Transfer,Fortnightly
111,26,Venmo,Fortnightly
112,9,Credit Card,Annually
113,28,PayPal,Bi-Weekly
114,20,PayPal,Quarterly
115,9,Cash,Weekly
116,48,Debit Card,Every 3 Months
117,12,Venmo,Annually
118,29,Cash,Fortnightly
119,27,Cash,Bi-Weekly
120,44,Cash,Annually
121,32,Bank Transfer,Annually
122,11,Cash,Fortnightly
123,44,Cash,Fortnightly
124,46,Cash,Weekly
125,50,PayPal,Annually
126,45,Venmo,Every 3 Months
127,48,Cash,Every 3 Months
128,26,Credit Card,Weekly
129,21,Credit Card,Fortnightly
130,49,PayPal,Bi-Weekly
131,13,PayPal,Fortnightly
132,46,Credit Card,Weekly
133,42,PayPal,Weekly
134,25,Venmo,Annually
135,25,Cash,Monthly
136,12,PayPal,Quarterly
137,4,Debit Card,Quarterly
138,38,PayPal,Weekly
139,42,Bank Transfer,Weekly
140,30,Venmo,Annually
141,50,Credit Card,Weekly
142,45,PayPal,Weekly
143,33,Credit Card,Fortnightly
